"timeindex" "Y" "nsmY" "x" "y"
237 -0.82545667726404 -0.0668918491530611 237 -0.758564828110979
238 -0.905879254682171 -0.149773832344825 238 -0.756105422337346
239 -0.775896518057378 -0.0222563800602147 239 -0.753640137997163
240 -0.879692739425025 -0.128524156981045 240 -0.75116858244398
241 -0.789013999698047 -0.0403232368016644 241 -0.748690762896383
242 -0.748956122239179 -0.00274974883218493 242 -0.746206373406994
243 -0.909137052456175 -0.165421320523657 243 -0.743715731932518
244 -0.705354761901147 0.0358644225563911 244 -0.741219184457538
245 -0.907230431094698 -0.168514427305641 245 -0.738716003789057
246 -0.873604537448495 -0.137397361253453 246 -0.736207176195042
247 -0.672051127765473 0.0616408356761214 247 -0.733691963441594
248 -0.809150311329405 -0.0779796695394024 248 -0.731170641790003
249 -0.72419290859291 0.00445000434861564 249 -0.728642912941526
250 -0.879755559737937 -0.153646027612819 250 -0.726109532125118
251 -0.853307204534636 -0.129737368670816 251 -0.72356983586382
252 -0.837262254658212 -0.116238668030821 252 -0.721023586627391
253 -0.841857450580271 -0.123386400336508 253 -0.718471050243763
254 -0.743537083257919 -0.0276243180124488 254 -0.71591276524547
255 -0.696167708651161 0.0171804937822686 255 -0.71334820243343
256 -0.672947806919981 0.0378296848002119 256 -0.710777491720193
257 -0.788930209974748 -0.0807293968754307 257 -0.708200813099317
258 -0.832431759558209 -0.126813533531497 258 -0.705618226026712
259 -0.665403925300335 0.0376253439616345 259 -0.70302926926197
260 -0.79969367407213 -0.0992595501893917 260 -0.700434123882738
261 -0.818995909916365 -0.121162720915036 261 -0.697833189001329
262 -0.90741508844233 -0.212189165655595 262 -0.695225922786735
263 -0.880561484971867 -0.187948554261382 263 -0.692612930710485
264 -0.868267510420705 -0.178273495679697 264 -0.689994014741008
265 -0.928286050036614 -0.2409173559095 265 -0.687368694127114
266 -0.698928230422137 -0.0141904821186276 266 -0.684737748303509
267 -0.913939732972679 -0.231839007465001 267 -0.682100725507678
268 -0.696802547859515 -0.017344964592454 268 -0.679457583267061
269 -0.509938418255137 0.1668700683012 269 -0.676808486556337
270 -0.757082591451885 -0.0829292993606688 270 -0.674153292091216
271 -0.748467389112494 -0.0769751821288985 271 -0.671492206983595
272 -0.548631331033896 0.120193858238245 272 -0.668825189272141
273 -0.68021961586555 -0.0140671821948877 273 -0.666152433670662
274 -0.797038880386352 -0.133564935180775 274 -0.663473945205577
275 -0.687785691750192 -0.0269963000756317 275 -0.66078939167456
276 -0.730993437240093 -0.0728942904201316 276 -0.658099146819961
277 -0.807073996781808 -0.151671122832069 277 -0.655402873949739
278 -0.733150450968302 -0.0804496955722424 278 -0.65270075539606
279 -0.500908543738979 0.149084446697972 279 -0.649992990436951
280 -0.636612586248336 0.0106666367181147 280 -0.647279222966451
281 -0.700456795121241 -0.0558972158908747 281 -0.644559579230366
282 -0.632757828592552 0.00907641770010348 282 -0.641834246292656
283 -0.633958681447473 0.0051444658886427 283 -0.639103147336116
284 -0.575295209753444 0.0610708870461815 284 -0.636366096799625
285 -0.567965104986135 0.0656582633228735 285 -0.633623368309008
286 -0.471674252929742 0.159200598851253 286 -0.630874851780995
287 -0.777910260343509 -0.149790112473548 287 -0.628120147869961
288 -0.859380274364808 -0.234020225088343 288 -0.625360049276465
289 -0.704805273240395 -0.0822114596456596 289 -0.622593813594735
290 -0.69453159913946 -0.0747093159220508 290 -0.619822283217409
291 -0.453462609512407 0.163582500011942 291 -0.617045109524349
292 -0.559447263692098 0.0548151974484267 292 -0.614262461140525
293 -0.578685958323354 0.0327877342391084 293 -0.611473692562462
294 -0.623072530388026 -0.0143933821175956 294 -0.60867914827043
295 -0.661695777680762 -0.0558163754703297 295 -0.605879402210432
296 -0.746903779726407 -0.143830004248335 296 -0.603073775478072
297 -0.828594968688374 -0.228332326595931 297 -0.600262642092443
298 -0.444318512995387 0.153127722602588 298 -0.597446235597975
299 -0.67676304435829 -0.082138626775471 299 -0.594624417582819
300 -0.578898983169705 0.0128981037711938 300 -0.591797086940899
301 -0.632119482805219 -0.0431556057086985 301 -0.588963877096521
302 -0.714861575991764 -0.128736645846345 302 -0.586124930145419
303 -0.555455575812807 0.0278248962384653 303 -0.583280472051272
304 -0.582168703523212 -0.00173548313723593 304 -0.580433220385976
305 -0.537887947461987 0.0396925951701138 305 -0.577580542632101
306 -0.466331052668229 0.108391401327506 306 -0.574722453995735
307 -0.694792984091753 -0.122934014378357 307 -0.571858969713396
308 -0.466119805591707 0.102870299458502 308 -0.568990105050209
309 -0.654146779697155 -0.0880309043990364 309 -0.566115875298119
310 -0.420129767953778 0.143106527820331 310 -0.563236295774109
311 -0.595657900607682 -0.0353065187892624 311 -0.56035138181842
312 -0.573228239048855 -0.0157670902560435 312 -0.557461148792812
313 -0.637700312929726 -0.0831347008509129 313 -0.554565612078813
314 -0.706430982039327 -0.15476619496332 314 -0.551664787076007
315 -0.542047886727264 0.00671080247305123 315 -0.548758689200315
316 -0.372944241876335 0.172903092005981 316 -0.545847333882316
